epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.8893,1.34589,3.21469,5.05537,1.21973,0.02375,0.06838,0.02165,0.01644,0.0233,0.06364,0.02039,0.0143,1.2902,2.95763,4.06239,1.19407,0.00331667,0.00331667,0.00331667
2,154.225,1.37963,2.97242,3.71592,1.25202,0.36567,0.07036,0.05637,0.03776,0.36174,0.06718,0.05314,0.03224,1.41396,2.97031,3.08001,1.27938,0.00662805,0.00662805,0.00662805
3,228.459,1.4521,2.98436,2.93614,1.29463,0.34585,0.07456,0.06766,0.0461,0.33773,0.06989,0.06354,0.04005,1.52765,3.17098,2.88142,1.33256,0.00991744,0.00991744,0.00991744
4,305.132,1.43207,3.00696,2.61404,1.28407,0.32466,0.13082,0.11047,0.07743,0.31604,0.12361,0.10473,0.06843,1.45625,3.12323,2.50665,1.31183,0.009901,0.009901,0.009901
5,379.364,1.39721,2.93946,2.43428,1.2646,0.37637,0.16279,0.15595,0.1082,0.35519,0.15195,0.14257,0.09263,1.34538,2.93052,2.26645,1.27086,0.009868,0.009868,0.009868
6,452.999,1.35814,2.87859,2.30328,1.24139,0.34218,0.17861,0.16992,0.12025,0.33195,0.1701,0.15903,0.10528,1.32582,2.92939,2.15631,1.2344,0.009835,0.009835,0.009835
7,526.347,1.34076,2.85808,2.23048,1.22736,0.33824,0.19633,0.19142,0.13873,0.32323,0.18543,0.17974,0.12114,1.31971,2.89649,2.09898,1.2341,0.009802,0.009802,0.009802
8,600.675,1.32602,2.82917,2.15812,1.21786,0.36865,0.22103,0.21245,0.15406,0.36167,0.21066,0.19703,0.13015,1.2765,2.78597,2.02977,1.21587,0.009769,0.009769,0.009769
9,674.4,1.29836,2.78161,2.10831,1.20367,0.36001,0.22646,0.21317,0.1493,0.32951,0.21345,0.19502,0.1255,1.29396,2.86049,2.04413,1.21145,0.009736,0.009736,0.009736
10,748.86,1.29362,2.7575,2.05382,1.19817,0.36733,0.24286,0.2287,0.1621,0.34444,0.2263,0.21212,0.13852,1.25507,2.75913,1.92695,1.1828,0.009703,0.009703,0.009703
11,824.384,1.27153,2.73041,2.00735,1.18252,0.41743,0.25873,0.24778,0.17874,0.40919,0.23592,0.22965,0.15251,1.23174,2.72845,1.84601,1.17413,0.00967,0.00967,0.00967
